#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 09 08 50 176 15.6 19.1  3.77  7.69  6.32 207 1011.8  10.1  11.5 999.0 99.0 99.00
2016 01 09 09 50 176 15.1 19.2  3.36  7.14  5.82 203 1012.1  10.1  11.6 999.0 99.0 99.00
2016 01 09 10 50 185 13.9 16.5  3.22  8.33  6.06 221 1013.3  10.5  11.6 999.0 99.0 99.00
2016 01 09 11 50 184 10.8 12.8  2.91  6.67  5.83 204 1014.0  10.4  11.5 999.0 99.0 99.00
2016 01 09 12 50 177  8.9 10.9  2.80  8.33  6.21 211 1014.6  10.2  11.5 999.0 99.0 99.00
2016 01 09 13 50 166  9.5 11.6  2.71  8.33  6.51 215 1014.3  10.2  11.5 999.0 99.0 99.00
2016 01 09 14 50 279  7.2  8.4  3.08  9.09  6.39 239 1014.9  10.4  11.5 999.0 99.0 99.00
2016 01 09 15 50 312  4.8  5.9  2.88  8.33  6.91 211 1015.9  10.6  11.5 999.0 99.0 99.00
2016 01 09 16 50 299  0.3  1.0  3.02 10.00  7.64 262 1016.6  10.6  11.5 999.0 99.0 99.00
2016 01 09 17 50 159  1.8  2.7  2.96 10.00  7.54 241 1017.5  10.6  11.5 999.0 99.0 99.00
2016 01 09 18 50 175  3.1  4.0  2.68 10.00  7.53 253 1018.3  10.6  11.5 999.0 99.0 99.00
2016 01 09 19 50 180  2.3  3.1  2.53 10.00  7.45 261 1018.9  11.0  11.5 999.0 99.0 99.00
2016 01 09 20 50 180  4.0  4.9  2.59 10.00  7.61 266 1018.9  10.9  11.6 999.0 99.0 99.00
2016 01 09 21 50 136  4.3  5.7  2.67 10.00  7.62 252 1019.1  10.2  11.6 999.0 99.0 99.00
2016 01 09 22 50 135  2.7  4.2  2.67 10.00  7.89 253 1019.3  10.4  11.6 999.0 99.0 99.00
2016 01 09 23 50 129  2.4  4.5  2.88 10.00  8.24 242 1019.2  10.7  11.5 999.0 99.0 99.00
2016 01 10 00 50 143  2.1  3.8  3.15 10.81  8.46 257 1019.4  10.5  11.6 999.0 99.0 99.00
2016 01 10 01 50 148  2.3  3.9  3.50 10.81  8.79 265 1019.9  10.4  11.6 999.0 99.0 99.00
